file number,file name,qubit 1 state,qubit 2 state,qubit 3 state,qubit 4 state
1,0008b6bb-cfca-4bfc-baf1-7af3c8e90a9f.png,1,1,1,1
2,0073af85-f0bf-4dfb-a656-822dfc5b8654.png,1,1,1,1
3,008a7fd9-7f0a-44c5-9c5a-a16286f66663.png,1,1,1,1
4,00cf8c15-5b7f-4a37-8f2d-441081838382.png,1,1,1,1
5,00ea7024-ed52-4389-9605-84c980e57140.png,1,1,1,0
6,011da22f-6890-4af5-9f42-facd87e2d75b(1).png,1,0,1,1
7,011da22f-6890-4af5-9f42-facd87e2d75b.png,1,0,1,1
8,016d296c-1d46-49e8-8dd1-cd77134400f2.png,1,1,1,0
9,0184d918-da35-49f3-ae0f-57d7a78e4d3d.png,1,1,1,0
10,019c6be3-0e3b-493b-8697-d1345abf7564.png,1,0,0,0
11,01c08d8c-3878-4880-a64f-c4a09e0e7a72.png,1,1,0,0
12,01d32d0a-7e7d-4e2f-abbd-1f7be37f5a88.png,1,0,0,1
13,02185365-6f56-40cd-85b3-8d3614577106.png,1,1,1,1
14,02b44765-3bef-4b7d-8c93-2269c316b343.png,1,1,1,1
15,02ee49a9-95ef-4a30-82fb-e1078575f6e9.png,0,1,1,1
16,030dc968-48d6-4454-b076-c82d0cc223bd.png,1,1,1,1
17,033dd5b4-e842-45be-bf1f-c15228200e0a.png,1,1,1,1
18,04a28ee8-ec58-44d7-a0f1-448b3ba0a530.png,1,1,1,1
19,05315dc0-f32e-45d9-9051-471fc360f37e.png,1,1,1,1
20,05814ff3-ad6e-4034-bb16-21cfc9fadc3c.png,1,1,0,1
21,05acd6d4-89e7-4c8f-a67e-87d182b08be6.png,0,1,1,1
22,05c9d261-43f6-48f2-b524-66b3939465bc.png,1,1,1,1
23,05e15a34-8769-40e2-a2b1-10df0f33c251.png,1,1,1,0
24,0602bf23-aa03-4557-9d17-e8b234345c7b.png,1,1,1,1
25,0615eaa5-5742-4689-ba4b-a5fbb8b4a0fd.png,1,1,1,1
26,061aa50c-b57a-4904-b2d1-545126326304.png,1,1,1,1
27,0642ecc6-5c57-4560-ada7-c30b7f18cc57.png,1,1,0,1
28,06516c1f-bb43-4e9a-9557-d7263b6144ab.png,1,1,1,0
29,066d7d01-1b7f-42a2-a66e-3644bcb8399c.png,1,1,1,1
30,066ed85a-a4a1-4b0b-9831-a263afe7bd70.png,1,1,0,0
31,0671024b-b1be-4113-b6d8-99c81feee3ac.png,1,1,0,1
32,067102d7-d3c0-49c7-aa4c-3b4067233027.png,1,0,1,0
33,069a4a5d-b100-412d-a1b6-b6ca75b067dd.png,1,1,1,1
34,06fb1323-1f26-496b-b0b5-25b0f59771de.png,1,1,0,1
35,073a3d91-d65f-4b62-a8a0-0dd36dd965b6.png,0,1,1,1
36,074e398a-4599-4dfa-96bc-b5f7d8916a9d.png,1,1,1,1
37,07bb3fe4-6709-45db-8a9a-f299973b209e.png,1,1,1,1
38,07be0b36-3611-4d67-bb66-3079ddd4d95c.png,1,1,0,1
39,0834e2eb-9e6f-4dcb-8e44-d553de2b8224.png,1,1,0,1
40,094d26cf-d98c-4f92-bce8-c3f67cacdd4f.png,0,1,0,1
41,094f1c6c-b410-4ca1-936f-a9008837e9a2.png,1,1,1,1
42,0956d2d0-5d13-4ef7-97d2-285621255b62.png,1,0,1,1
43,09816278-c6ad-4363-8790-10c170d3f13b.png,0,1,1,1
44,09bd783f-7acc-41e4-bf15-75bfc651b4eb.png,1,1,1,1
45,0a0a423e-a44f-43e3-b034-2a8d8ba8d2ce.png,0,1,1,0
46,0a638003-651f-4ee9-8f7e-32eb9c5ea585.png,1,1,1,1
47,0a6f13e7-1de1-4422-85fd-33c54a126ac5(1).png,1,1,1,1
48,0a6f13e7-1de1-4422-85fd-33c54a126ac5.png,1,1,1,1
49,0ab2f67e-27dc-4922-a554-24ebf96e3948.png,1,1,1,1
50,0ada0810-16be-4bcf-a34c-bc306facb4f3.png,0,1,1,1
51,0bc3d0eb-05fc-41bd-bb09-724be6cd0e16.png,0,1,1,1
52,0c123e60-88a6-4fed-b6a0-73580e7c1b6c.png,1,0,1,1
53,0c4430f0-e5e6-4733-8924-338d46288a00.png,1,1,1,1
54,0c659d22-e5f1-4fe1-9a4a-99dfc217d2d0.png,1,1,1,1
55,0cbc50b2-e0cd-4420-a8ca-3dd10b891c7a.png,0,1,0,0
56,0cc7c1b1-e62c-4d77-a5ce-7f1dd467bddc.png,1,0,1,0
57,0d158aed-d8f5-42f0-89bd-c08211c9af81.png,1,1,1,1
58,0d539857-40e7-462b-a6df-baa5717edc20.png,1,1,1,0
59,0d676420-aa26-4f0f-97b8-cf5e1c87b371.png,1,0,1,1
60,0d9bb760-2750-48e1-b0e0-9b6385331c22.png,1,1,1,1
61,0e1b9ddd-56e8-4e93-a250-e5706f95bbd5.png,1,1,1,1
62,0e61e20b-e476-4555-8fd7-54a348e903f4.png,1,1,1,1
63,0e7b84e8-07fe-4f56-8f09-44d4a0722ace.png,1,0,1,1
64,0efce1f0-df0a-4ec9-87ed-077caa6cb555.png,0,1,1,0
65,0efecb36-e22b-4131-b82c-929d6814fb24.png,1,1,1,1
66,0f1ef869-4992-4a1a-af0d-9ed7dbc8d0fc.png,1,1,1,1
67,0f37ecc6-4a35-4e5a-b920-5eb72cd1c2c5.png,0,1,1,1
68,0f730d57-7113-49c8-90b0-a835f9096ba9.png,1,1,1,1
69,1014fc2a-597c-4d3f-b0be-49a5b94b4a8a.png,1,1,1,1
70,10355e36-8591-48f3-bd4a-3e0ae7849cb8.png,1,1,1,1
71,10785d03-59a8-46e7-96b4-eec532530610(1).png,1,1,1,1
72,10785d03-59a8-46e7-96b4-eec532530610.png,1,1,1,1
73,10b1a0d4-2bae-4903-995c-664044b8e3ce.png,1,1,1,1
74,113dfaa5-a028-4226-a1b5-a0cd6761e338.png,1,1,0,1
75,118cd350-3125-4982-a018-bc8becaccf76(1).png,1,0,1,1
76,118cd350-3125-4982-a018-bc8becaccf76.png,1,0,1,1
77,11996503-d9c9-4457-aff6-4764dc6c24e3.png,0,1,1,1
78,11a172c0-bf07-41ba-b1a7-005cbf64a251.png,1,1,1,1
79,11a40b07-d5a9-4f55-a119-a8585f07452f.png,1,1,0,1
80,11d0ca82-3866-4129-b631-6fec571c3c2c.png,1,0,1,1
81,123cf209-20ea-49f3-81ba-223a70c80f28.png,1,0,0,0
82,12c7ef53-80cf-47ef-865e-ad8e4bfce32c.png,1,1,0,1
83,12e6ff0d-5d86-4105-8c6f-16e5a11da8d9.png,1,0,0,1
84,133fce9b-24ca-48c7-96f3-43df564dbaa0.png,1,1,1,1
85,135fcbb2-cf59-4c8e-b48e-51d7e9fb6aa8.png,1,1,1,0
86,142786cc-1d8f-4a69-b313-b77fabbdfe62.png,1,1,0,1
87,142c47c6-adc5-42b5-b7b7-69df1e0c6bb0.png,1,1,1,0
88,14a98877-878c-439f-a5f9-1580e2762bb2.png,1,1,1,1
89,14b12fd8-2c4b-41bf-a357-51d501cf6614.png,1,1,0,1
90,15c6c0af-7f7b-4980-a4ba-3f2107f3079b.png,0,1,1,1
91,15e53b5d-9500-4ada-95bf-a023ba6c1da6.png,1,1,1,1
92,175c3ea1-e0e9-47ae-a1a6-6c56c36e4298.png,0,1,1,1
93,17d691ef-5748-4d36-81df-58959e4d7d51.png,1,0,1,1
94,1813bf7c-24cc-4af0-a032-b70cfa74fbfa.png,1,0,1,1
95,1863dd47-46e7-44a3-ae6b-7bf0c46b78f5.png,0,0,0,0
96,195a9023-4df1-42af-bd8c-be6224e252c6.png,1,1,1,1
97,1a38f65e-c188-4535-8641-b4b143783b33.png,1,1,0,0
98,1a5a0661-bc6f-4e5b-81c1-50e781395bdf.png,1,1,0,1
99,1a5d05dc-39e6-408f-bd00-b027d68c8e36.png,0,1,1,0
100,1a97493a-bbc3-4835-af9c-c6109d02bcb4.png,1,1,1,1
101,1aa04d61-f88b-46f1-b21b-5b5498c0ae78.png,1,1,1,1
102,1ab34c9c-6826-42ba-8c2b-7d24043811fe.png,0,1,1,1
103,1ac35ddc-f5fb-46b5-9c4f-c80211949963.png,1,1,1,0
104,1b33f964-2a79-4db9-a797-a4899822747e.png,0,1,1,1
105,1b594bcf-2059-4f19-b9a5-94b375fddbe3.png,1,0,0,1
106,1c27c1e2-9785-42cf-981d-2f8a1c4aa2b0.png,1,1,1,1
107,1c38eabf-e0ca-4595-9ec7-962c4d4d38d9.png,0,1,1,1
108,1c545986-50bd-4202-b215-6532c0c686f8.png,1,1,1,1
109,1c93b3f2-7377-43ca-a15f-748a4167cb7e.png,0,1,1,1
110,1cda6411-fac7-465c-a7be-0e4e17f02b1a.png,0,1,1,1
111,1ce82b91-0ec8-4e3b-bebf-ff035e4322d1.png,1,1,1,1
112,1d81f057-d7a7-4c53-a6d3-1f6d032b48e1.png,1,1,1,1
